,Year,State,Commodity,Data Type,Value
19,2000,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2622000
20,1999,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2652000
21,1998,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2637000
22,1997,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2631000
23,1996,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2581000
24,1995,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2655000
25,1994,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2783000
26,1993,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2875000
27,1992,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3045000
28,1991,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3211000
29,1990,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3220000
30,1989,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3528000
31,1988,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3370000
32,1987,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3316000
33,2019,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
34,2018,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
35,2017,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
36,2016,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
37,2015,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
38,2014,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
39,2013,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
40,2012,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
41,2011,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
42,2010,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
43,2009,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
44,2008,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
45,2007,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
46,2006,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
47,2005,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
48,2004,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
49,2003,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
50,2002,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
51,2001,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
52,2000,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
53,1999,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
54,1998,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
55,1997,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
56,1996,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
57,1995,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
58,1994,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
59,1993,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
60,1992,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
61,1991,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
62,1990,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
63,1989,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",41000
64,1988,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",42000
65,1987,ALABAMA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",46000
66,2019,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
67,2018,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
68,2017,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
69,2016,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
70,2015,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
71,2014,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
72,2013,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
73,2012,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
74,2011,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
75,2010,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
76,2009,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",20000
77,2008,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
78,2007,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
79,2006,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
80,2005,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
81,2004,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
82,2003,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
83,2002,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
84,2001,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",43000
85,2000,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
86,1999,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
87,1998,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
88,1997,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",42000
89,1996,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
90,1995,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
91,1994,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",53000
92,1993,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
93,1992,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",70000
94,1991,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",75000
95,1990,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",67000
96,1989,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",78000
97,1988,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",80000
98,1987,ARIZONA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",80000
99,2019,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",20000
100,2018,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
101,2017,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
102,2016,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
103,2015,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
104,2014,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",21000
105,2013,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
106,2012,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
107,2011,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
108,2010,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
109,2009,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
110,2008,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
111,2007,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
112,2006,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
113,2005,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
114,2004,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
115,2003,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
116,2002,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
117,2001,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
118,2000,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
119,1999,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
120,1998,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",53000
121,1997,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
122,1996,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
123,1995,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
124,1994,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
125,1993,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
126,1992,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
127,1991,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",47000
128,1990,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",42000
129,1989,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",34000
130,1988,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",34000
131,1987,ARKANSAS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
132,2019,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",335000
133,2018,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",335000
134,2017,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",335000
135,2016,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",310000
136,2015,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",275000
137,2014,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",320000
138,2013,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",330000
139,2012,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",330000
140,2011,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",370000
141,2010,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",410000
142,2009,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",355000
143,2008,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",360000
144,2007,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",340000
145,2006,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",380000
146,2005,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",400000
147,2004,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",390000
148,2003,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",480000
149,2002,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",470000
150,2001,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",460000
151,2000,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",440000
152,1999,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",465000
153,1998,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",450000
154,1997,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",420000
155,1996,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",390000
156,1995,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",420000
157,1994,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",400000
158,1993,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",500000
159,1992,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",490000
160,1991,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",550000
161,1990,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",480000
162,1989,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",620000
163,1988,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",600000
164,1987,CALIFORNIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",540000
165,2019,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
166,2018,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",31000
167,2017,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",33000
168,2016,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",32000
169,2015,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
170,2014,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
171,2013,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
172,2012,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
173,2011,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",31000
174,2010,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",34000
175,2009,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
176,2008,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
177,2007,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",31000
178,2006,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
179,2005,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
180,2004,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
181,2003,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
182,2002,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
183,2001,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",26000
184,2000,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
185,1999,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
186,1998,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",27000
187,1997,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
188,1996,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
189,1995,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
190,1994,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
191,1993,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",53000
192,1992,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",52000
193,1991,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
194,1990,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
195,1989,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
196,1988,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",48000
197,1987,COLORADO,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",44000
198,1990,CONNECTICUT,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2000
199,1989,CONNECTICUT,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2000
200,1988,CONNECTICUT,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2000
201,1987,CONNECTICUT,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2000
202,1990,DELAWARE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",1000
203,1989,DELAWARE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",1000
204,1988,DELAWARE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",1000
205,1987,DELAWARE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",1000
206,2019,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",205000
207,2018,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",215000
208,2017,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",205000
209,2016,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",215000
210,2015,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
211,2014,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",245000
212,2013,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
213,2012,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",193000
214,2011,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",180000
215,2010,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",200000
216,2009,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",170000
217,2008,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",150000
218,2007,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",160000
219,2006,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",170000
220,2005,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",160000
221,2004,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",205000
222,2003,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",210000
223,2002,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
224,2001,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
225,2000,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",232000
226,1999,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",228000
227,1998,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",230000
228,1997,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",240000
229,1996,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",240000
230,1995,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",230000
231,1994,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",230000
232,1993,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",200000
233,1992,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
234,1991,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",225000
235,1990,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",220000
236,1989,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",250000
237,1988,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",240000
238,1987,FLORIDA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",240000
239,2019,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",102000
240,2018,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",98000
241,2017,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",99000
242,2016,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",96000
243,2015,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",69000
244,2014,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",73000
245,2013,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",67000
246,2012,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",59000
247,2011,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
248,2010,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",55000
249,2009,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
250,2008,GEORGIA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
