Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA0712050001HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"CA0712050001HYUS2","HY","297","Fluvalinate","0.0018","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"CA0712050142HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0049","0.004","M","","SM","O","RE","Clover","NC","R","1","","ID","","1"
"CA0712050152HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"CA0712050406HYUS2P","HY","124","Coumaphos","0.0017","0.001","M","","SM","O","RE","Clover","NC","R","1","","OH","","0.15"
"CA0712050484HYUS2","HY","124","Coumaphos","0.0052","0.001","M","","SM","O","RE","Wildflower","NC","R","1","","CA","","0.15"
"CO0710010001HYUS2","HY","254","Dicofol p,p'","0.0021","0.001","M","V","SM","O","RE","Clover","NC","D","1","","CO","","NT"
"CO0711050009HYUS2","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","CA","","0.05"
"FL0710080056HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Clover","NC","R","1","","AR","","0.15"
"FL0711090023HYUS2P","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0711090023HYUS2P","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0711130029HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","P","1","","FL","","0.15"
"FL0711130064HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Orange Blossom","OT","R","1","","FL","","0.15"
"FL0711130064HYUS2P","HY","297","Fluvalinate","0.0022","0.001","M","","SM","O","RE","Orange Blossom","OT","R","1","","FL","","0.05"
"FL0711130066HYUS2P","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0711130066HYUS2P","HY","297","Fluvalinate","0.0027","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0711130067HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","MN","","0.15"
"FL0712100001HYUS2P","HY","124","Coumaphos","0.0018","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0712100002HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0712100009HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0712100025HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","FL","","0.15"
"FL0712100066HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","FL","","0.15"
"MD0710110039HYUS2","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","CA","","0.05"
"MD0711140001HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","MD","","0.15"
"MD0712050005HYUS2","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Clover","NC","D","1","","TX","","0.15"
"MI0710090008HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Pure Clover Hy","NC","D","1","","MI","","0.15"
"MI0710090056HYUS2P","HY","124","Coumaphos","0.0015","0.001","M","","SM","O","RE","Clover Grade A","NC","R","1","","MI","","0.15"
"MI0710090056HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0092","0.004","M","","SM","O","RE","Clover Grade A","NC","R","1","","MI","","1"
"MI0710090094HYUS2","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","Clover Honey","NC","D","1","","AR","","0.15"
"MI0711130055HYUS2","HY","124","Coumaphos","0.002","0.001","M","","SM","O","RE","Raw-Wild 100% Pure","OT","D","1","","IA","","0.15"
"MI0712110055HYUS2","HY","124","Coumaphos","0.0017","0.001","M","","SM","O","RE","Light Amber Natural","NC","D","1","","IA","","0.15"
"NY0710100254HYUS2P","HY","124","Coumaphos","0.0047","0.001","M","","SM","O","RE","Clover","NC","O","1","","NH","","0.15"
"NY0712050250HYUS2","HY","297","Fluvalinate","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","NY","","0.05"
"NY0712050254HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","MD","","0.15"
"NY0712050261HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Pure Clover","NC","L","1","","AR","","0.15"
"OH0710010100HYUS2","HY","144","Dicloran","0.001","0.001","M","V","SM","O","RE","Clover","NC","L","1","","IA","","NT"
"OH0711050223HYUS2P","HY","124","Coumaphos","0.0118","0.001","M","","SM","O","RE","Pure","NC","R","1","","OH","","0.15"
"OH0712030100HYUS2","HY","124","Coumaphos","0.0022","0.001","M","","SM","O","RE","","NC","D","1","","TN","","0.15"
"OH0712030212HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Pure Clover.","NC","R","1","","OH","","0.15"
"OH0712030212HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0042","0.004","M","","SM","O","RE","Pure Clover.","NC","R","1","","OH","","1"
"TX0710010103HYUS2","HY","124","Coumaphos","0.0024","0.001","M","","SM","O","RE","Blossom","NC","D","1","","TX","","0.15"
"TX0710010105HYUS2","HY","124","Coumaphos","0.0016","0.001","M","","SM","O","RE","","NC","D","1","","TX","","0.15"
"TX0711050201HYUS2P","HY","297","Fluvalinate","0.0044","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","IA","","0.05"
"TX0712030103HYUS2","HY","124","Coumaphos","0.0015","0.001","M","","SM","O","RE","Clover Pure","NC","D","1","","TX","","0.15"
"TX0712030201HYUS2","HY","297","Fluvalinate","0.0039","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","IA","","0.05"
"TX0712030300HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Pure","NC","D","1","","IL","","0.15"
"TX0712030409HYUS2","HY","124","Coumaphos","0.0017","0.001","M","","SM","O","RE","Clover","NC","D","1","","KS","","0.15"
"TX0712030419HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","AR","","0.15"
"WA0710010004HYUS2P","HY","297","Fluvalinate","0.0025","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"WA0710010033HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover Honey, Pure","OT","D","1","","AR","","0.15"
"WA0711050033HYUS2P","HY","124","Coumaphos","0.0016","0.001","M","","SM","O","RE","Clover Honey","OT","D","1","","AR","","0.15"
"WA0712030004HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"WA0712030004HYUS2P","HY","297","Fluvalinate","0.0022","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"WA0712030034HYUS2P","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","","NC","R","1","","WA","","0.15"
"WI0710010114HYUS2","HY","124","Coumaphos","0.0029","0.001","M","","SM","O","RE","","NC","D","1","","WI","","0.15"
"WI0711050103HYUS2","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover Grade A","NC","D","1","","","","0.15"
"WI0712030103HYUS2","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","Clover","NC","D","1","","","","0.15"
"WI0712030122HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Clover Honey","OT","D","1","","AR","","0.15"
"CA0801160142HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0092","0.004","M","","SM","O","RE","Clover","NC","R","1","","ID","","1"
"CA0801160152HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0088","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0801160273HYUS2","HY","254","Dicofol p,p'","0.0017","0.001","M","V","SM","O","RE","Clover","NC","R","1","","CA","","NT"
"CA0801160273HYUS2","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"CA0801160406HYUS2P","HY","297","Fluvalinate","0.0025","0.001","M","","SM","O","RE","Pure Clover","NC","R","1","","OH","","0.05"
"CA0801160484HYUS2","HY","297","Fluvalinate","0.0016","0.001","M","","SM","O","RE","N/A","NC","R","1","","CA","","0.05"
"CA0801160514HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0051","0.004","M","","SM","O","RE","Pure Clove Honey","NC","R","1","","KS","","1"
"CA0801170560HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Clover Honey","NC","R","1","","CA","","0.05"
"CA0802110004HYUS2","HY","297","Fluvalinate","0.0015","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","IA","","0.05"
"CA0802110142HYUS2P","HY","124","Coumaphos","0.0015","0.001","M","","SM","O","RE","Clover","NC","R","1","","ID","","0.15"
"CA0802110142HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0077","0.004","M","","SM","O","RE","Clover","NC","R","1","","ID","","1"
"CA0802110152HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0049","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0802110273HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0085","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0802110319HYUS2","HY","297","Fluvalinate","0.0124","0.001","M","","SM","O","RE","Orange Honey","NC","R","1","","CA","","0.05"
"CA0802110319HYUS2","HY","AES","Methoxyfenozide","0.0028","0.002","M","V","SM","O","RE","Orange Honey","NC","R","1","","CA","","NT"
"CA0803120152HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0088","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0803120328HYUS2","HY","297","Fluvalinate","0.0018","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"CA0803120406HYUS2P","HY","254","Dicofol p,p'","0.0029","0.001","M","V","SM","O","RE","Clover","NC","R","1","","OH","","NT"
"CA0803120406HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0094","0.004","M","","SM","O","RE","Clover","NC","R","1","","OH","","1"
"CA0803120561HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0244","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0804160004HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.006","0.004","M","","SM","O","RE","Unknown","NC","R","1","","CA","","1"
"CA0804160273HYUS2","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"CA0804160492HYUS2","HY","124","Coumaphos","0.0015","0.001","M","","SM","O","RE","Clover Honey","NC","R","1","","ID","","0.15"
"CA0804160504HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0092","0.004","M","","SM","O","RE","Pure Clove","NC","R","1","","KS","","1"
"CA0804160519HYUS2","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Clover Honey","NC","R","1","","IA","","0.15"
"CA0804160519HYUS2","HY","254","Dicofol p,p'","0.0011","0.001","M","V","SM","O","RE","Clover Honey","NC","R","1","","IA","","NT"
"CA0804160582HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0052","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0805140001HYUS2","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover","NC","R","1","","IA","","0.15"
"CA0805140001HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0064","0.004","M","","SM","O","RE","Clover","NC","R","1","","IA","","1"
"CA0805140142HYUS2","HY","254","Dicofol p,p'","0.0017","0.001","M","V","SM","O","RE","Clover","NC","R","1","","ID","","NT"
"CA0805140151HYUS2","HY","297","Fluvalinate","0.002","0.001","M","","SM","O","RE","Clover","NC","R","1","","KS","","0.05"
"CA0805140273HYUS2","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"CA0805140273HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0072","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0805140467HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Calif. Wildflower","NC","R","1","","CA","","0.15"
"CA0806110406HYUS2P","HY","124","Coumaphos","0.0025","0.001","M","","SM","O","RE","Clover","NC","R","1","","KS","","0.15"
"CA0806110406HYUS2P","HY","297","Fluvalinate","0.0029","0.001","M","","SM","O","RE","Clover","NC","R","1","","KS","","0.05"
"CA0806110406HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0092","0.004","M","","SM","O","RE","Clover","NC","R","1","","KS","","1"
"CA0806110517HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0058","0.004","M","","SM","O","RE","100% Pure","NC","R","1","","CA","","1"
"CA0806110531HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0091","0.004","M","","SM","O","RE","100% Pure","NC","R","1","","CA","","1"
"CA0806110553HYUS2","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover Grade A Fancy","NC","R","1","","KS","","0.15"
"CA0806110553HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Clover Grade A Fancy","NC","R","1","","KS","","0.05"
"CA0806110557HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0076","0.004","M","","SM","O","RE","","NC","R","1","","CA","","1"
"CA0806110560HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0094","0.004","M","","SM","O","RE","","NC","R","1","","IA","","1"
"CA0807210319HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","CA","","0.05"
"CA0807210516HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Honey Clover","NC","R","1","","KS","","0.05"
"CA0808180146HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Clover","NC","D","1","","ID","","0.05"
"CA0808180407HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Pure","NC","D","1","","CA","","0.15"
"CA0810230004HYUS2B","HY","124","Coumaphos","0.0038","0.001","M","","SM","O","RE","Wildflower","NC","R","1","","CA","","0.15"
"CA0810230273HYUS2C","HY","254","Dicofol p,p'","0.0023","0.001","M","V","SM","O","RE","Wildflower","NC","R","1","","KS","","NT"
"CA0810230504HYUS2","HY","160","Chlorpyrifos","0.0013","0.001","M","","SM","O","RE","Light Amber","NC","R","1","","IA","","0.1"
"CO0801070010HYUS2","HY","254","Dicofol p,p'","0.001","0.001","M","V","SM","O","RE","White Clover","NC","T","1","","AZ","","NT"
"CO0801070010HYUS2","HY","297","Fluvalinate","0.0017","0.001","M","","SM","O","RE","White Clover","NC","T","1","","AZ","","0.05"
"CO0806020001HYUS2","HY","124","Coumaphos","0.0032","0.001","M","","SM","O","RE","Clover Honey","NC","D","1","","ID","","0.15"
"CO0807070010HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0192","0.004","M","","SM","O","RE","Unfiltered","NC","T","1","","AZ","","1"
"CO0807070012HYUS2","HY","254","Dicofol p,p'","0.0011","0.001","M","V","SM","O","RE","Unknown","NC","T","1","","CO","","NT"
"FL0801100056HYUS2P","HY","297","Fluvalinate","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0801110038HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0801110049HYUS2","HY","124","Coumaphos","0.0024","0.001","M","","SM","O","RE","Palmetto","NC","D","1","","FL","","0.15"
"FL0801110049HYUS2","HY","297","Fluvalinate","0.0029","0.001","M","","SM","O","RE","Palmetto","NC","D","1","","FL","","0.05"
"FL0801110057HYUS2P","HY","297","Fluvalinate","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0801140043HYUS2","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","FL","","0.15"
"FL0801140052HYUS2P","HY","124","Coumaphos","0.0022","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.15"
"FL0801140052HYUS2P","HY","297","Fluvalinate","0.0019","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.05"
"FL0801140058HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0801140058HYUS2P","HY","297","Fluvalinate","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0802110002HYUS2P","HY","297","Fluvalinate","0.0025","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0802110060HYUS2P","HY","124","Coumaphos","0.0018","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.15"
"FL0802110060HYUS2P","HY","297","Fluvalinate","0.0027","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.05"
"FL0802110061HYUS2P","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0803100001HYUS2P","HY","297","Fluvalinate","0.0024","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0803100007HYUS2P","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0803100009HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","PA","","0.15"
"FL0803100043HYUS2","HY","297","Fluvalinate","0.0098","0.001","M","","SM","O","RE","Orange Blossom","NC","D","1","","FL","","0.05"
"FL0803100046HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0043","0.004","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","1"
"FL0803100060HYUS2P","HY","124","Coumaphos","0.0042","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0803100060HYUS2P","HY","297","Fluvalinate","0.0018","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0804140056HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0804140060HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.15"
"FL0804140060HYUS2P","HY","254","Dicofol p,p'","0.0018","0.001","M","V","SM","O","RE","Unknown","NC","R","1","","FL","","NT"
"FL0804140060HYUS2P","HY","297","Fluvalinate","0.006","0.001","M","","SM","O","RE","Unknown","NC","R","1","","FL","","0.05"
"FL0804140061HYUS2P","HY","124","Coumaphos","0.0016","0.001","M","","SM","O","RE","Gallberry","PO","L","1","","FL","","0.15"
"FL0804140061HYUS2P","HY","254","Dicofol p,p'","0.0028","0.001","M","V","SM","O","RE","Gallberry","PO","L","1","","FL","","NT"
"FL0804140064HYUS2P","HY","124","Coumaphos","0.0015","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0804140064HYUS2P","HY","297","Fluvalinate","0.0018","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0804140066HYUS2P","HY","254","Dicofol p,p'","0.0013","0.001","M","V","SM","O","RE","Orange Blossom","NC","R","1","","FL","","NT"
"FL0805120001HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0805120001HYUS2P","HY","297","Fluvalinate","0.0041","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"FL0805120041HYUS2P","HY","254","Dicofol p,p'","0.0011","0.001","M","V","SM","O","RE","Tupelo","NC","L","1","","FL","","NT"
"FL0805120043HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0047","0.004","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","1"
"FL0806090001HYUS2P","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.15"
"FL0806090038HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0765","0.004","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","1"
"FL0806090052HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Orange Blossom","PO","R","1","","FL","","0.15"
"FL0806090052HYUS2P","HY","297","Fluvalinate","0.0015","0.001","M","","SM","O","RE","Orange Blossom","PO","R","1","","FL","","0.05"
"FL0807020028HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.024","0.004","M","","SM","O","RE","Wildflower","PO","R","1","","FL","","1"
"FL0807020029HYUS2P","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Orange Blossom","PO","R","1","","FL","","0.05"
"FL0807020029HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.018","0.004","M","","SM","O","RE","Orange Blossom","PO","R","1","","FL","","1"
"FL0808110002HYUS2P","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0808110002HYUS2P","HY","297","Fluvalinate","0.0025","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.05"
"FL0808110056HYUS2P","HY","297","Fluvalinate","0.0023","0.001","M","","SM","O","RE","Clover","NC","R","1","","MI","","0.05"
"FL0808110060HYUS2P","HY","070","Piperonyl butoxide","0.0063","0.006","M","","SM","O","RE","Orange Blossom","PO","R","1","","FL","","10"
"FL0809150029HYUS2P","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Orange Blossom","NC","L","1","","FL","","0.15"
"FL0809150039HYUS2P","HY","070","Piperonyl butoxide","0.008","0.006","M","","SM","O","RE","Clover","NC","R","1","","KS","","10"
"FL0809150039HYUS2P","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover","NC","R","1","","KS","","0.15"
"FL0809150043HYUS2","HY","124","Coumaphos","0.0021","0.001","M","","SM","O","RE","Tupelo","NC","D","1","","FL","","0.15"
"FL0809150046HYUS2P","HY","124","Coumaphos","0.0019","0.001","M","","SM","O","RE","Na","NC","R","1","","FL","","0.15"
"FL0809150068HYUS2P","HY","297","Fluvalinate","0.0014","0.001","M","","SM","O","RE","Orange Blossom","NC","R","1","","FL","","0.05"
"MD0801160001HYUS2","HY","124","Coumaphos","0.0013","0.001","M","","SM","O","RE","Pure Clover","NC","D","1","","MD","","0.15"
"MD0801160005HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0055","0.004","M","","SM","O","RE","Clover","NC","D","1","","TX","","1"
"MD0801160039HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0053","0.004","M","","SM","O","RE","Pure Clover","NC","D","1","","KS","","1"
"MD0802110001HYUS2","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Clover","NC","D","1","","MD","","0.15"
"MD0802110005HYUS2","HY","124","Coumaphos","0.0016","0.001","M","","SM","O","RE","Clover","NC","D","1","","TX","","0.15"
"MD0804160001HYUS2","HY","070","Piperonyl butoxide","0.0088","0.006","M","","SM","O","RE","Clover","NC","D","1","","MD","","10"
"MD0804160001HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","MD","","0.15"
"MD0804160001HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0062","0.004","M","","SM","O","RE","Clover","NC","D","1","","MD","","1"
"MD0804160005HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","D","1","","TX","","0.15"
"MD0805140001HYUS2","HY","297","Fluvalinate","0.001","0.001","M","","SM","O","RE","Clover","NC","D","1","","IA","","0.05"
"MD0805140005HYUS2","HY","124","Coumaphos","0.0017","0.001","M","","SM","O","RE","Clover","NC","D","1","","TX","","0.15"
"MD0805140039HYUS2","HY","124","Coumaphos","0.001","0.001","M","","SM","O","RE","Clover","NC","D","1","","CA","","0.15"
